original_sentence,processed_tokens
Nice taraftarları unutulmaz bir gece yaşadı!,nice taraftar unutulmaz bir gece yaşamak
"Salah ve Griezmann'ın harika oyunuyla Nice, Lens'i 3-2 mağlup etti.",salâh harika oyun nice lens mağlup etmek
Maçın yıldızı Ødegaard oldu.,maç yıldız Unk olmak
"Arsenal, Chelsea'yi 2-1 yendi.",Arsenal yenmek
Saka'nın muhteşem golü tribünleri ayakta alkışlattı!,muhteşem gol tribün ayakta alkışlamak
"El Clásico'da Barcelona, Real Madrid'i 4-0 ezdi.",Barcelo Real Madrid ezmek
Lewandowski hat-trick yaptı!,Lewandowski yapmak
"Bayern, Dortmund'u 5-0 yenerek şampiyonluğa bir adım daha yaklaştı.",Bayern Dortmund yenmek şampiyon bir ad yaklaşmak
Musiala'nın performansı muazzamdı.,performans muazzam
"Fenerbahçe, derbide Galatasaray'ı 3-1 mağlup etti.",Fenerbahçe derbi Galatasaray mağlup etmek
İrfan Can Kahveci'nin golü unutulmazdı!,can gol unutulmaz
"Inter, derbide AC Milan'ı 1-0 yendi.",İnter derbi Mila yenmek
Lautaro Martinez'in golü kazandırdı.,Unk gol kazanmak
"Porto, Benfica'yı 2-1 yendi.",porto yenmek
Pepe'nin kırmızı kartı maçın dönüm noktası oldu.,kırmızı kart maç dönü nokta olmak
"Ajax, PSV'yi 4-2 mağlup etti.",Ajax mağlup etmek
Bergwijn'in 2 golüyle Ajax şampiyonluğa koşuyor.,gol Ajax şampiyon koşmak
"LA Galaxy, derbide LAFC'yi 3-2 yendi.",Galaxy derbi yenmek
Chicharito'nun golü maçı kazandırdı.,gol maç kazanmak
"PSG, Marseille'yi 4-0 ezdi.",Psg ezmek
Mbappé'nin 2 golüyle PSG liderliğini sürdürdü.,gol Psg lider sürdürmek
"Beşiktaş, Trabzon'da zorlu bir mücadele sonucu 2-1 kazandı.",Beşiktaş zor bir Mücadele sonuç kazanmak
Vincent Aboubakar'ın 89. dakikadaki golü taraftarları çılgına çevirdi!,Vincent dakika gol taraftar çılgın çevirmek
"Atletico Madrid, Sevilla'yı 1-0 mağlup etti.",Atletico Madrid mağlup etmek
"Savunma hatasından yararlanan Griezmann, maçın tek golünü kaydetti.",savunmak hata yararlanmak Griezmann maç tek gol kaydetmek
"Leipzig, Wolfsburg'u 4-2 yendi.",Leipzig Wolfsburg yenmek
Dani Olmo'nun 2 golü ve 1 asistiyle takımına büyük katkı sağladı.,Dani gol asist takım büyük katkı sağlamak
"Juventus, Roma'yı 3-0 yenerek şampiyonluk yarışına yeniden dahil oldu.",Juventus yenmek şampiyon yarış yeniden dâhil olmak
Vlahović'in performansı göz doldurdu.,performans göz doldurmak
"Sporting, Porto'yu 1-0 mağlup ederek ligdeki liderlik koltuğunu sağlamlaştırdı.",Sporting mağlup etmek lig lider koltuk sağlam
Pedro Gonçalves'in frikik golü maçı kazandırdı.,Pedro frikik gol maç kazanmak
"Feyenoord, AZ Alkmaar'ı 3-1 yendi.",Feyenoord Alkmaar yenmek
Santiago Giménez'in 2 golüyle takımına 3 puanı getirdi.,Santiago gol takım puan getirmek
"Messi'nin 2 golü ve 1 asistiyle Inter Miami, NYCFC'yi 4-2 mağlup etti.",gol asist İnter Miami mağlup etmek
Tribünlerde büyük coşku yaşandı!,tribün büyük coşku yaşamak
"Monaco, Lille'i 2-0 yenerek Avrupa kupalarına katılım yolunda önemli bir adım attı.",Monaco Lille yenmek Avrupa kupa katılım yol önem bir ad atmak
Gol krallığı yarışındaki Wissam Ben Yedder yine fark yarattı.,gol kral yarış Unk ben Unk yine fark yaratmak
"Celtic, ezeli rakibi Rangers'ı 2-1 mağlup ederek ligdeki üstünlüğünü sürdürdü.",Celtic ezelî Rakîb Rangers mağlup etmek lig üstün sürdürmek
Kyogo Furuhashi'nin golü maçın kaderini değiştirdi.,Unk gol maç kader değişmek
"Galatasaray, Kayserispor'u 5-0 gibi farklı bir skorla devirdi.",Galatasaray Kayserispor fark bir skorlamak devirmek
Mauro Icardi'nin hat-trick yapması taraftarları sevince boğdu.,Mauro yapmak taraftar sevmek boğmak
"Anfield'da oynanan ezeli rekabette Liverpool, Manchester United'ı 4-0 mağlup etti.",oynamak ezelî rekabet Liverpool Manchester United mağlup etmek
Salah'ın 2 golü ve Núñez'in muhteşem performansı göz doldurdu.,gol muhteşem performans göz doldurmak
"Real Sociedad, Villarreal'i 3-1 yendi.",Real Sociedad Villarreal yenmek
Takefusa Kubo'nun teknik direktörüne cevap niteliğindeki golü maçın en konuşulan anı oldu.,Unk teknik direktör cevap nitelik gol maç konuşmak an olmak
"Adana Demirspor, Konyaspor'u 2-1 mağlup etti.",ada Demirspor Konyaspor mağlup etmek
Balotelli'nin serbest vuruştan attığı gol taraftarları ayakta alkışlattı.,serbest vurmak atmak gol taraftar ayakta alkışlamak
"Leverkusen, Union Berlin'i 5-0 gibi farklı bir skorla yendi.",Leverkusen Union Berlin fark bir skorlamak yenmek
Wirtz ve Frimpong'un harika ikili oyunu Bundesliga'da konuşuluyor.,Unk harika iki oy konuşmak
"Napoli, Lazio'yu 2-1 mağlup etti.",Napoli mağlup etmek
Osimhen'in kafa golü ve Kvara'nın asisti maçın belirleyici anlarıydı.,kafa gol asist maç belirlemek an
"Lyon, Marseille'yi 3-2 yendi.",Lyon yenmek
Alexandre Lacazette'in 90+4'te attığı gol taraftarlara büyük sevinç yaşattı.,Alexandre atmak gol taraftar büyük sevinç yaşamak
"Benfica, Sporting'i 1-0 mağlup etti.",Benfica Sporting mağlup etmek
João Mário'nun penaltıdan attığı gol maçın tek gölü oldu.,Unk penaltı atmak gol maç tek göl olmak
"PSV, Utrecht'i 4-0 mağlup etti.",Psv Utrecht mağlup etmek
Luuk de Jong'un hat-trick yapmasıyla PSV ligdeki liderliğini sürdürdü.,Unk yapmak Psv lig lider sürdürmek
"New York Red Bulls, DC United'ı 3-1 yendi.",New York Unk Bulls United yenmek
Lewis Morgan'un 2 golü maçın kaderini belirledi.,Lewis gol maç kader belirlemek
"Rangers, Aberdeen'i 2-0 mağlup etti.",Rangers Aberdeen mağlup etmek
James Tavernier'in penaltı golü ve Rabbi Matondo'nun müthiş şutu maçı kazandırdı.,James penaltı gol Rabbi müthiş şut maç kazanmak
"Sivasspor, Alanyaspor'u 1-0 mağlup etti.",Sivasspor Alanyaspor mağlup etmek
Emre Kılınç'ın uzaktan attığı gol maçın tek gölü olarak kayıtlara geçti.,emir uzaktan atmak gol maç tek göl olmak kayıt geçmek
"Manchester City, Tottenham'ı 3-2 mağlup etti.",Manchester City Tottenham mağlup etmek
Haaland'ın 2 golüne rağmen maçın yıldızı Julian Alvarez oldu.,gol rağmen maç yıldız Julia Alvarez olmak
"Valencia, Girona'yı 2-1 mağlup etti.",Valencia mağlup etmek
Hugo Duro'nun 88. dakikada attığı gol maçı Valencia lehine çevirdi.,Hugo dakika atmak gol maç Valencia leh çevirmek
"Wolfsburg, Dortmund'u 2-1 mağlup etti.",Wolfsburg Dortmund mağlup etmek
Niklas Füllkrug'ın eski takımına attığı gol maçın en çok konuşulan anıydı.,Niklas eski takım atmak gol maç konuşmak an
"Roma, Fiorentina'yı 2-0 mağlup etti.",rom mağlup etmek
Dybala'nın müthiş frikik golü ve Lukaku'nun kafa gölü maçı kazandırdı.,müthiş frikik gol kafa göl maç kazanmak
"Lens, Strasbourg'u 3-1 mağlup etti.",lens Strasbourg mağlup etmek
Elye Wahi'nin 2 golü Lens taraftarlarını sevince boğdu.,Unk gol lens taraftar sevmek boğmak
"Porto, Boavista'yı 4-0 mağlup etti.",porto mağlup etmek
Evanilson'un hat-trick yapmasıyla Porto ligde 3. sıraya yükseldi.,yapmak porto lig sıra yükselmek
"AZ Alkmaar, Twente'yi 2-1 mağlup etti.",Alkmaar mağlup etmek
Vangelis Pavlidis'in 90+3'te attığı gol maçı kazandırdı.,Vangelis atmak gol maç kazanmak
"Seattle Sounders, Portland Timbers'i 2-1 mağlup etti.",Seattle Unk Portland Unk mağlup etmek
Raúl Ruidíaz'ın 2 golüyle Sounders derbiyi kazandı.,Unk gol Unk derbi kazanmak
"Celtic, Hearts'ı 3-0 mağlup etti.",Celtic Hearts mağlup etmek
Kyogo Furuhashi'nin 2 golüyle Celtic ligdeki farkını açtı.,Unk gol Celtic lig fark açmak
"Başakşehir, Kasımpaşa'yı 4-2 mağlup etti.",Başakşehir mağlup etmek
Edin Visca'nın eski takımına attığı gol ve Okan Buruk'un taktik değişiklikleri maçın dönüm noktası oldu.,etmek eski takım atmak gol Okan taktik değişik maç dönü nokta olmak
"Aston Villa, Newcastle'ı 3-1 yendi.",Aston villâ Newcastle yenmek
Ollie Watkins'in 2 golü ve Douglas Luiz'in orta saha hakimiyeti Villa Park'ta büyük coşku yarattı.,Ollie gol Douglas orta saha hâkimiyet villâ büyük coşku yaratmak
"Betis, Valencia'yı 2-0 mağlup etti.",Betis mağlup etmek
Isco'nun muhteşem performansı ve William Carvalho'nun uzun mesafeli golü maçı kazandırdı.,muhteşem performans William uzun mesafe gol maç kazanmak
"Mönchengladbach, Frankfurt'u 3-2 yendi.",Mönchengladbach Frankfurt yenmek
Alassane Plea'nın 89. dakikada attığı gol taraftarları çılgına çevirdi.,Alassane dakika atmak gol taraftar çılgın çevirmek
"Milan, Atalanta'yı 2-1 mağlup etti.",Mila mağlup etmek
"Rafael Leao'nun süratinden yararlanan Rossoneri, Giroud'nun kafa golüyle galibiyete ulaştı.",Rafael sürat yararlanmak Unk kafa gol galibiyet ulaşmak
"Rennes, PSG'yi 1-0 mağlup etti.",Rennes mağlup etmek
Arnaud Kalimuendo'nun eski takımına attığı gol ve Steve Mandanda'nın kurtarışları maçın belirleyici anlarıydı.,Arnaud eski takım atmak gol Steve kurtarmak maç belirlemek an
"Benfica, Porto'yu 2-1 mağlup etti.",Benfica mağlup etmek
Ángel Di María'nın serbest vuruş golü ve António Silva'nın kurtarışları Estádio da Luz'da büyük sevinç yarattı.,Unk serbest vuruşmak gol Unk kurtarmak Unk büyük sevinç yaratmak
"Feyenoord, PSV'yi 3-2 mağlup etti.",Feyenoord mağlup etmek
Santiago Giménez'in 90+4'te attığı gol De Kuip'te büyük coşkuyla karşılandı.,Santiago atmak gol büyük coşku karşı
"Atlanta, Orlando'yu 4-3 mağlup etti.",Atlanta mağlup etmek
Thiago Almada'nın hat-trick yapması ve 90+7'de attığı serbest vuruş golü maçı kazandırdı.,Thiago yapmak atmak serbest vuruşmak gol maç kazanmak
"Rangers, Celtic'i 2-1 mağlup etti.",Rangers Celtic mağlup etmek
Kemar Roofe'un 87. dakikada attığı gol Ibrox Stadı'nda büyük sevinç yarattı.,Unk dakika atmak gol Unk büyük sevinç yaratmak
"Trabzonspor, Fenerbahçe'yi 1-0 mağlup etti.",Trabzonspor mağlup etmek
Enis Bardhi'nin frikik golü ve Uğurcan Çakır'ın kurtarışları maçın belirleyici anlarıydı.,Enis frikik gol Uğurcan kurtarmak maç belirlemek an
"Brighton, Chelsea'yi 3-2 mağlup etti.",Brighton mağlup etmek
Evan Ferguson'un muhteşem performansı ve Joao Pedro'nun penaltı golü maçı kazandırdı.,Unk muhteşem performans Joao penaltı gol maç kazanmak
"Girona, Real Madrid'i 4-2 mağlup etti.",Giro Real Madrid mağlup etmek
Ukraynalı yıldız Artem Dovbyk'ın hat-trick yapmasıyla Girona ligdeki sürpriz performansını sürdürdü.,Ukrayna yıldız Arte yapmak Giro lig sürpriz performans sürdürmek
"Stuttgart, Bayern Münih'i 3-1 mağlup etti.",Stuttgart Bayern Münih mağlup etmek
Serhou Guirassy'nin 2 golü ve Deniz Undav'ın performansı maçın belirleyici anlarıydı.,Unk gol de performans maç belirlemek an
"Lazio, Inter'i 1-0 mağlup etti.",Lazio İnter mağlup etmek
Ciro Immobile'nin 78. dakikada attığı gol ve Provedel'in kurtarışları maçı kazandırdı.,ciro dakika atmak gol kurtarmak maç kazanmak
"Marsilya, Nice'i 2-1 mağlup etti.",Marsilya nice mağlup etmek
Pierre-Emerick Aubameyang'ın 2 golü Vélodrome'da büyük sevinç yarattı.,gol büyük sevinç yaratmak
"Sporting, Benfica'yı 3-2 mağlup etti.",Sporting mağlup etmek
Viktor Gyökeres'in 90+5'te attığı gol Alvalade'da büyük coşkuyla karşılandı.,Viktor atmak gol büyük coşku karşı
"Ajax, Twente'yi 4-3 mağlup etti.",Ajax mağlup etmek
Steven Bergwijn'in hat-trick yapması ve Brian Brobbey'nin 90+8'de attığı gol maçı kazandırdı.,Steve yapmak Brian atmak gol maç kazanmak
"Inter Miami, New England'ı 5-2 mağlup etti.",İnter Miami New England mağlup etmek
Lionel Messi'nin 2 golü ve 2 asistiyle DRV PNK Stadyumu'nda büyük gösteri yaptı.,Lionel gol asist Unk Unk büyük gösteri yapmak
"Celtic, Kilmarnock'u 4-0 mağlup etti.",Celtic Unk mağlup etmek
Kyogo Furuhashi'nin 2 golü ve Matt O'Riley'nin performansı maçın belirleyici anlarıydı.,Unk gol Matt performans maç belirlemek an
